City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,High Level,CA,26.6,few clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
1,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
2,Busselton,AU,66.99,clear sky,-33.65,115.3333,Observatory Guest House
3,Hithadhoo,MV,82.36,few clouds,-0.6,73.0833,Scoop Guest House
4,Hilo,US,71.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Haimen,CN,64.4,light rain,23.1935,116.6142,Jinghao Business Hotel
7,Labuhan,ID,84.56,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
8,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
9,Mataura,NZ,67.24,clear sky,-46.1927,168.8643,Ellie's Villa
10,Hermanus,ZA,61.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Rikitea,PF,76.91,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
14,Bluff,NZ,57.45,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
15,Kiruna,SE,5.0,clear sky,67.8557,20.2251,Camp Ripan
16,Punta Arenas,CL,44.6,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
17,New Norfolk,AU,59.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
18,Burnie,AU,53.01,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
19,Mar Del Plata,AR,66.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Lompoc,US,53.6,broken clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
21,Puerto Ayora,EC,78.01,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Puerto Baquerizo Moreno,EC,77.11,light rain,-0.9,-89.6,Hotel los Algarrobos
25,Arraial Do Cabo,BR,75.4,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Dunedin,NZ,63.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
27,Castro,BR,59.97,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Hofn,IS,25.68,overcast clouds,64.2539,-15.2082,Hótel Höfn
30,Ushuaia,AR,41.0,few clouds,-54.8,-68.3,Albatros Hotel
31,College,US,6.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
32,Iqaluit,CA,19.4,light snow,63.7506,-68.5145,Frobisher Inn
33,Coquimbo,CL,57.2,clear sky,-29.9533,-71.3436,Punto de encuentro
34,Riosucio,CO,59.47,overcast clouds,5.4216,-75.7032,Finca cafetera La Ermita
35,Upernavik,GL,26.76,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
36,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
37,Kodiak,US,24.8,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
38,Yatou,CN,55.13,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
40,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
41,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Berbera,SO,74.97,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
43,Kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
44,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Ilulissat,GL,33.8,snow,69.2167,-51.1,Hotel Arctic
46,Atuona,PF,81.19,clear sky,-9.8,-139.0333,Villa Enata
47,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
48,Port Alfred,ZA,63.97,few clouds,-33.5906,26.891,The Halyards Hotel
49,Pacific Grove,US,53.01,few clouds,36.6177,-121.9166,Lovers Point Inn
50,Kikwit,CD,70.25,overcast clouds,-5.041,18.8162,Guest L'Amour
51,Olafsvik,IS,25.34,clear sky,64.8945,-23.7142,Hotel Olafsvik
54,Kizukuri,JP,37.99,light snow,40.8061,140.3861,Hotel memory
55,Samarai,PG,82.85,light rain,-10.6167,150.6667,Nuli Sapi
56,Davila,PH,86.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
57,Numata,JP,55.99,broken clouds,36.6333,139.05,Hotel Bella-Vita
58,Lebanon,US,69.8,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
59,Fairbanks,US,6.8,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
60,Oktyabrskoye,RU,51.8,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
61,Saint George,US,75.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
63,Maxixe,MZ,69.8,clear sky,-23.8597,35.3472,Oceano
64,Seddon,AU,64.0,broken clouds,-37.8068,144.8916,Footscray Motor Inn
65,Bundaberg,AU,84.2,clear sky,-24.85,152.35,Takalvan Motel
66,Olavarria,AR,60.01,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
67,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
69,Ayagoz,KZ,51.35,overcast clouds,47.9714,80.4392,Gostinitsa Nur
70,Port Elizabeth,ZA,59.0,mist,-33.918,25.5701,39 On Nile Guest House
71,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
72,Sola,VU,83.64,overcast clouds,-13.8833,167.55,Leumerus Bungalows
73,Llangefni,GB,43.0,overcast clouds,53.2556,-4.3106,Bull Hotel
74,San Quintin,MX,60.53,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
75,Wielun,PL,30.99,few clouds,51.221000000000004,18.5696,Zajazd Boryna
76,Miandrivazo,MG,74.59,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
77,Desdunes,HT,76.86,overcast clouds,19.2955,-72.646,Tèmitan
78,Chuy,UY,70.11,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Faanui,PF,82.0,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Thompson,CA,44.6,broken clouds,55.7435,-97.8558,Burntwood Hotel
82,Bumba,CD,69.76,overcast clouds,2.1833,22.4667,Hôtel Cape Town
83,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
84,Clyde River,CA,8.6,snow,70.4692,-68.5914,Qamaq Hotel
85,Sakakah,SA,64.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
87,Airai,TL,73.96,broken clouds,-8.9266,125.4092,Juvinal Martin
88,Constitucion,CL,54.55,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
89,Half Moon Bay,US,57.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
90,Sao Gabriel Da Cachoeira,BR,72.59,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
91,Kaitangata,NZ,57.99,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
92,Kushiro,JP,41.0,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
93,Zarubino,RU,43.81,scattered clouds,42.63,131.0922,"Okean, Baza Otdykha"
94,Saint-Junien,FR,48.0,clear sky,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
95,Mercedes,AR,66.99,light rain,-34.6515,-59.4307,Posada del Inti Centro
97,Vuktyl,RU,40.23,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
98,Rockport,US,73.4,mist,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
99,Lebu,CL,52.7,few clouds,-37.6167,-73.65,Hostal Las Lilas
