City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,High Level,CA,58.5169,-117.136,26.6,43,20,6.91,few clouds
1,Butaritari,KI,3.0707,172.7902,81.77,80,55,15.79,light rain
2,Busselton,AU,-33.65,115.3333,66.99,58,0,3.0,clear sky
3,Hithadhoo,MV,-0.6,73.0833,82.36,67,12,10.74,few clouds
4,Hilo,US,19.7297,-155.09,71.6,73,90,8.05,light rain
5,Souillac,MU,-20.5167,57.5167,78.8,73,40,6.91,scattered clouds
6,Haimen,CN,23.1935,116.6142,64.4,77,90,4.47,light rain
7,Labuhan,ID,-6.8844,112.2051,84.56,73,88,7.18,overcast clouds
8,Saint-Georges,GD,12.0564,-61.7485,78.8,83,20,10.36,few clouds
9,Mataura,NZ,-46.1927,168.8643,67.24,39,0,1.61,clear sky
10,Hermanus,ZA,-34.4187,19.2345,61.0,86,37,3.31,scattered clouds
11,Provideniya,RU,64.3833,-173.3,5.0,66,0,4.47,clear sky
12,Rikitea,PF,-23.1203,-134.9692,76.91,66,98,5.84,overcast clouds
13,Salalah,OM,17.0151,54.0924,75.2,57,0,5.75,clear sky
14,Bluff,NZ,-46.6,168.3333,57.45,61,0,0.72,clear sky
15,Kiruna,SE,67.8557,20.2251,5.0,92,7,9.22,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,44.6,81,40,6.91,scattered clouds
17,New Norfolk,AU,-42.7826,147.0587,59.0,56,73,3.0,broken clouds
18,Burnie,AU,-41.0667,145.9167,53.01,72,52,14.0,broken clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,66.0,88,0,3.44,clear sky
20,Lompoc,US,34.6391,-120.4579,53.6,76,67,14.97,broken clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,78.01,93,18,3.11,few clouds
22,Leningradskiy,RU,69.3833,178.4167,-2.94,88,15,2.59,few clouds
23,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.11,88,59,3.15,light rain
24,Cibitoke,BI,-2.8833,29.25,58.77,94,97,3.36,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,75.4,74,61,17.47,broken clouds
26,Dunedin,NZ,-45.8742,170.5036,63.0,66,0,5.99,clear sky
27,Castro,BR,-24.7911,-50.0119,59.97,91,77,10.65,broken clouds
28,Hofn,IS,64.2539,-15.2082,25.68,51,100,16.75,overcast clouds
29,Amapa,BR,1.0,-52.0,71.38,98,100,2.06,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,41.0,65,20,12.66,few clouds
31,College,US,64.8569,-147.8028,6.8,51,75,18.41,broken clouds
32,Iqaluit,CA,63.7506,-68.5145,19.4,86,75,11.5,light snow
33,Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,3.44,clear sky
34,Riosucio,CO,5.4216,-75.7032,59.47,97,100,1.5,overcast clouds
35,Upernavik,GL,72.7868,-56.1549,26.76,70,100,6.49,overcast clouds
36,East London,ZA,-33.0153,27.9116,65.34,85,1,5.99,clear sky
37,Kodiak,US,57.79,-152.4072,24.8,30,1,28.77,clear sky
38,Yatou,CN,37.15,122.3833,55.13,33,4,8.55,clear sky
39,Chokurdakh,RU,70.6333,147.9167,1.11,88,100,9.78,overcast clouds
40,Hirara,JP,24.8,125.2833,75.2,57,75,11.5,broken clouds
41,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,3.44,light rain
42,Berbera,SO,10.4396,45.0143,74.97,76,6,0.92,clear sky
43,Kloulklubed,PW,7.0419,134.2556,87.8,62,75,5.75,broken clouds
44,Mahebourg,MU,-20.4081,57.7,78.8,73,40,6.91,scattered clouds
45,Ilulissat,GL,69.2167,-51.1,33.8,86,90,9.22,snow
46,Atuona,PF,-9.8,-139.0333,81.19,73,0,15.68,clear sky
47,Hobart,AU,-42.8794,147.3294,59.0,47,75,17.27,broken clouds
48,Port Alfred,ZA,-33.5906,26.891,63.97,89,21,7.43,few clouds
49,Pacific Grove,US,36.6177,-121.9166,53.01,82,16,5.01,few clouds
50,Kikwit,CD,-5.041,18.8162,70.25,96,100,2.01,overcast clouds
51,Olafsvik,IS,64.8945,-23.7142,25.34,52,1,11.12,clear sky
52,Borogontsy,RU,62.6683,131.1683,28.54,95,100,6.46,snow
53,Barrow,US,71.2906,-156.7887,-13.0,70,40,11.5,scattered clouds
54,Kizukuri,JP,40.8061,140.3861,37.99,93,75,19.57,light snow
55,Samarai,PG,-10.6167,150.6667,82.85,76,89,15.43,light rain
56,Davila,PH,18.4726,120.5763,86.0,62,20,8.05,few clouds
57,Numata,JP,36.6333,139.05,55.99,21,51,17.0,broken clouds
58,Lebanon,US,36.2081,-86.2911,69.8,49,40,5.75,scattered clouds
59,Fairbanks,US,64.8378,-147.7164,6.8,61,90,19.57,overcast clouds
60,Oktyabrskoye,RU,43.0645,44.7417,51.8,87,100,8.95,overcast clouds
61,Saint George,US,37.1041,-113.5841,75.2,5,1,11.5,clear sky
62,Laela,TZ,-8.5667,32.05,59.11,96,100,3.87,overcast clouds
63,Maxixe,MZ,-23.8597,35.3472,69.8,87,5,5.55,clear sky
64,Seddon,AU,-37.8068,144.8916,64.0,63,75,18.41,broken clouds
65,Bundaberg,AU,-24.85,152.35,84.2,51,1,8.05,clear sky
66,Olavarria,AR,-36.8927,-60.3225,60.01,97,93,3.44,overcast clouds
67,Bathsheba,BB,13.2167,-59.5167,78.8,65,75,14.97,broken clouds
68,Saint-Augustin,CA,51.226,-58.6502,33.17,97,100,3.04,overcast clouds
