City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-06 02:54:18,-23.1203,-134.9692,78.28,70,30,11.95
1,San Andres,CO,2021-04-06 02:54:19,12.5847,-81.7006,80.6,74,75,10.36
2,Nantucket,US,2021-04-06 02:54:19,41.2835,-70.0995,45.0,74,62,16.26
3,Hermanus,ZA,2021-04-06 02:53:26,-34.4187,19.2345,60.01,89,100,8.99
4,Narsaq,GL,2021-04-06 02:54:13,60.9167,-46.05,37.4,81,75,1.14
5,Yenagoa,NG,2021-04-06 02:54:20,4.9247,6.2642,77.38,94,85,3.71
6,Plouzane,FR,2021-04-06 02:54:20,48.3833,-4.6167,41.0,60,0,8.05
7,Bluff,NZ,2021-04-06 02:52:50,-46.6,168.3333,61.0,75,37,18.99
8,Portel,BR,2021-04-06 02:54:20,-1.9356,-50.8211,74.05,96,100,2.91
9,Saskylakh,RU,2021-04-06 02:54:21,71.9167,114.0833,3.79,83,100,12.64
10,Mataura,NZ,2021-04-06 02:52:49,-46.1927,168.8643,61.0,75,29,18.99
11,Mauldin,US,2021-04-06 02:50:43,34.7787,-82.3101,62.6,34,1,5.3
12,Cape Town,ZA,2021-04-06 02:51:03,-33.9258,18.4232,61.0,82,0,2.3
13,Ribeira Grande,PT,2021-04-06 02:53:01,38.5167,-28.7,59.58,76,100,12.55
14,Almaznyy,RU,2021-04-06 02:54:21,48.0448,40.045,35.6,93,42,8.95
15,Coahuayana,MX,2021-04-06 02:54:22,18.7333,-103.6833,71.83,90,10,0.36
16,Havoysund,NO,2021-04-06 02:51:01,70.9963,24.6622,33.8,100,75,19.57
17,Manokwari,ID,2021-04-06 02:54:22,-0.8667,134.0833,81.54,81,100,4.34
18,Saint-Pierre,RE,2021-04-06 02:54:22,-21.3393,55.4781,77.0,69,0,6.91
19,Nome,US,2021-04-06 02:53:46,64.5011,-165.4064,5.0,66,90,17.27
20,Ushuaia,AR,2021-04-06 02:54:23,-54.8,-68.3,41.0,75,0,2.3
21,Codrington,AU,2021-04-06 02:54:23,-38.2667,141.9667,65.93,59,86,13.27
22,Mar Del Plata,AR,2021-04-06 02:54:24,-38.0023,-57.5575,70.0,94,69,4.61
23,Busselton,AU,2021-04-06 02:54:24,-33.65,115.3333,75.0,73,13,3.0
24,Albany,US,2021-04-06 02:53:43,42.6001,-73.9662,48.99,34,20,13.8
25,Hobart,AU,2021-04-06 02:52:03,-42.8794,147.3294,68.0,59,20,8.05
26,Yellowknife,CA,2021-04-06 02:53:04,62.456,-114.3525,28.99,100,90,6.91
27,Puerto Ayora,EC,2021-04-06 02:54:25,-0.7393,-90.3518,77.0,92,67,2.91
28,Koumac,NC,2021-04-06 02:54:25,-20.5667,164.2833,83.17,55,90,1.12
29,Atuona,PF,2021-04-06 02:54:25,-9.8,-139.0333,80.69,77,57,8.1
30,Takahagi,JP,2021-04-06 02:54:26,36.7167,140.7167,52.0,58,100,3.0
31,Nakamura,JP,2021-04-06 02:54:26,32.9833,132.9333,53.62,80,100,1.79
32,Kushima,JP,2021-04-06 02:54:26,31.4583,131.2333,62.6,51,75,8.05
33,Kaitangata,NZ,2021-04-06 02:54:27,-46.2817,169.8464,65.7,49,3,8.37
34,Snezhnogorsk,RU,2021-04-06 02:54:27,69.1933,33.2531,35.6,75,40,13.42
35,Nurota,UZ,2021-04-06 02:54:27,40.5614,65.6886,46.4,76,0,11.5
36,Punta Arenas,CL,2021-04-06 02:50:19,-53.15,-70.9167,46.4,57,75,17.27
37,Halifax,CA,2021-04-06 02:53:36,44.6453,-63.5724,39.99,93,81,6.91
38,Faanui,PF,2021-04-06 02:53:33,-16.4833,-151.75,81.54,70,95,16.58
39,La Asuncion,VE,2021-04-06 02:54:28,11.0333,-63.8628,78.8,89,64,14.97
40,Mogadouro,PT,2021-04-06 02:54:28,41.3403,-6.7119,44.96,51,0,0.81
41,Provideniya,RU,2021-04-06 02:53:51,64.3833,-173.3,6.8,72,75,15.66
42,Port Alfred,ZA,2021-04-06 02:54:29,-33.5906,26.891,62.87,79,100,1.41
43,Severo-Kurilsk,RU,2021-04-06 02:54:29,50.6789,156.125,29.43,83,93,18.32
44,Taoudenni,ML,2021-04-06 02:54:29,22.6783,-3.9836,76.01,10,0,9.44
45,Barrow,US,2021-04-06 02:51:14,71.2906,-156.7887,-0.4,71,20,11.5
46,Birin,NP,2021-04-06 02:54:30,26.8865,88.0718,72.54,18,0,4.43
47,Sorbhog,IN,2021-04-06 02:54:30,26.5,90.8667,85.3,20,0,1.99
48,Beloha,MG,2021-04-06 02:54:30,-25.1667,45.05,66.0,92,12,3.27
49,Lompoc,US,2021-04-06 02:54:05,34.6391,-120.4579,53.6,76,100,12.66
50,Souillac,MU,2021-04-06 02:54:31,-20.5167,57.5167,75.2,88,40,9.04
51,Trelew,AR,2021-04-06 02:54:31,-43.249,-65.3051,59.81,86,100,18.03
52,Antalaha,MG,2021-04-06 02:54:31,-14.9003,50.2788,75.29,90,94,2.59
53,Chuy,UY,2021-04-06 02:53:22,-33.6971,-53.4616,68.23,90,24,9.1
54,Pangnirtung,CA,2021-04-06 02:54:32,66.1451,-65.7125,7.47,98,100,2.39
55,Coihaique,CL,2021-04-06 02:54:13,-45.5752,-72.0662,57.2,62,90,6.91
56,East London,ZA,2021-04-06 02:53:06,-33.0153,27.9116,63.97,87,100,6.08
57,Marzuq,YE,2021-04-06 02:54:32,14.4,46.4667,65.01,36,15,3.42
58,Trinidad,BO,2021-04-06 02:50:09,-14.8333,-64.9,73.17,97,100,1.83
59,Castro,BR,2021-04-06 02:52:52,-24.7911,-50.0119,56.53,98,77,4.81
60,Port Elizabeth,ZA,2021-04-06 02:54:33,-33.918,25.5701,60.8,88,90,3.44
61,Lebu,CL,2021-04-06 02:53:24,-37.6167,-73.65,58.05,82,100,14.52
62,Maldonado,UY,2021-04-06 02:54:33,-34.6667,-54.9167,68.0,94,0,10.36
63,Qaanaaq,GL,2021-04-06 02:53:25,77.484,-69.3632,-1.75,62,100,1.88
64,New Norfolk,AU,2021-04-06 02:54:34,-42.7826,147.0587,68.0,39,10,1.01
65,Saldanha,ZA,2021-04-06 02:54:34,-33.0117,17.9442,55.4,88,5,3.44
66,Tasiilaq,GL,2021-04-06 02:54:34,65.6145,-37.6368,17.6,79,75,17.27
67,Hay River,CA,2021-04-06 02:54:35,60.8156,-115.7999,35.6,60,100,5.75
68,Kapaa,US,2021-04-06 02:54:35,22.0752,-159.319,78.8,61,90,19.57
69,Alice Springs,AU,2021-04-06 02:54:35,-23.7,133.8833,87.01,30,0,8.05
70,Uvira,CD,2021-04-06 02:54:36,-3.4067,29.1458,71.4,87,96,4.14
71,San Jose,US,2021-04-06 02:53:49,37.3394,-121.895,57.0,67,20,11.5
72,Poum,NC,2021-04-06 02:54:36,-20.2333,164.0167,80.11,69,87,19.62
73,Yar-Sale,RU,2021-04-06 02:53:50,66.8333,70.8333,30.69,98,100,10.67
74,Samarai,PG,2021-04-06 02:54:37,-10.6167,150.6667,84.16,74,66,7.54
75,Portland,US,2021-04-06 02:53:00,45.5234,-122.6762,59.0,36,1,5.75
76,Kavieng,PG,2021-04-06 02:53:41,-2.5744,150.7967,84.13,70,78,2.35
77,Mareeba,AU,2021-04-06 02:54:37,-17.0,145.4333,91.0,65,23,3.0
78,Jamestown,US,2021-04-06 02:53:05,42.097,-79.2353,46.0,70,90,9.22
79,Carnarvon,AU,2021-04-06 02:54:38,-24.8667,113.6333,82.4,57,35,13.8
80,Dumas,US,2021-04-06 02:54:38,35.8656,-101.9732,72.0,37,1,19.57
81,Bambous Virieux,MU,2021-04-06 02:54:24,-20.3428,57.7575,78.01,88,40,10.11
82,Norrtalje,SE,2021-04-06 02:54:39,59.758,18.705,36.0,71,53,11.99
83,Constitucion,CL,2021-04-06 02:54:39,-35.3333,-72.4167,56.32,90,100,4.85
84,Boffa,GN,2021-04-06 02:54:39,10.1667,-14.0333,75.38,91,28,1.36
85,Bilibino,RU,2021-04-06 02:54:39,68.0546,166.4372,4.21,80,8,2.28
86,Poya,NC,2021-04-06 02:54:40,-21.35,165.15,83.07,56,33,7.02
87,Los Llanos De Aridane,ES,2021-04-06 02:54:40,28.6585,-17.9182,62.6,63,0,8.05
88,Lavrentiya,RU,2021-04-06 02:54:40,65.5833,-171.0,3.67,87,79,8.5
89,Talnakh,RU,2021-04-06 02:54:41,69.4865,88.3972,26.87,95,100,8.9
90,Hofn,IS,2021-04-06 02:54:41,64.2539,-15.2082,20.16,61,3,16.06
91,Nikolskoye,RU,2021-04-06 02:54:42,59.7035,30.7861,32.0,93,90,4.47
92,Ancud,CL,2021-04-06 02:54:42,-41.8697,-73.8203,55.99,100,90,11.5
93,Tual,ID,2021-04-06 02:54:43,-5.6667,132.75,83.86,66,100,1.01
94,Huilong,CN,2021-04-06 02:54:43,31.8111,121.655,68.0,51,37,7.47
95,Druzhba,UA,2021-04-06 02:54:43,52.0428,33.9453,34.81,74,53,12.91
96,Iqaluit,CA,2021-04-06 02:53:12,63.7506,-68.5145,19.4,86,75,11.5
97,Iskateley,RU,2021-04-06 02:54:44,67.6803,53.1512,30.61,92,100,12.71
98,Sao Joao Da Barra,BR,2021-04-06 02:53:56,-21.6403,-41.0511,71.76,73,3,3.83
99,Guymon,US,2021-04-06 02:54:44,36.6828,-101.4816,73.4,40,1,19.57
100,Caramay,PH,2021-04-06 02:54:44,10.1815,119.236,83.41,73,69,8.61
101,Cidreira,BR,2021-04-06 02:53:52,-30.1811,-50.2056,73.09,81,100,14.72
102,Correntina,BR,2021-04-06 02:54:45,-13.3433,-44.6367,75.38,61,27,5.91
103,Zhuhai,CN,2021-04-06 02:54:26,22.2769,113.5678,78.8,73,40,8.05
104,Tuktoyaktuk,CA,2021-04-06 02:54:45,69.4541,-133.0374,-7.6,77,75,19.57
105,Kalofer,BG,2021-04-06 02:54:46,42.6167,24.9833,37.99,85,38,1.39
106,Castle Rock,US,2021-04-06 02:53:52,39.3722,-104.8561,60.01,25,8,6.96
107,Hasaki,JP,2021-04-06 02:54:46,35.7333,140.8333,54.0,66,75,16.11
108,Melilla,ES,2021-04-06 02:54:46,35.2937,-2.9383,53.6,82,0,4.61
109,Arraial Do Cabo,BR,2021-04-06 02:51:17,-22.9661,-42.0278,75.33,72,64,9.57
110,Port Hardy,CA,2021-04-06 02:54:47,50.6996,-127.4199,44.6,76,75,12.66
111,Shirak,AM,2021-04-06 02:54:47,40.8404,43.9158,50.0,43,40,14.97
112,Avera,US,2021-04-06 02:53:15,33.194,-82.5271,59.0,55,1,6.35
113,Avarua,CK,2021-04-06 02:54:47,-21.2078,-159.775,82.4,78,90,14.97
114,Torbay,CA,2021-04-06 02:53:19,47.6666,-52.7314,39.99,100,90,9.22
115,Freeport,US,2021-04-06 02:54:48,40.6576,-73.5832,59.0,20,1,14.97
116,Umm Lajj,SA,2021-04-06 02:54:48,25.0213,37.2685,75.27,45,0,1.66
117,Butaritari,KI,2021-04-06 02:54:49,3.0707,172.7902,78.31,87,100,11.72
118,Dois Corregos,BR,2021-04-06 02:53:48,-22.3661,-48.3803,70.0,74,16,8.01
119,Beringovskiy,RU,2021-04-06 02:54:49,63.05,179.3167,6.96,83,100,16.13
120,Ilulissat,GL,2021-04-06 02:54:48,69.2167,-51.1,17.6,79,75,5.75
121,Chernaya Kholunitsa,RU,2021-04-06 02:54:50,58.8511,51.7154,30.79,93,100,7.94
122,Grootfontein,NA,2021-04-06 02:54:50,-19.5667,18.1167,63.81,59,21,6.78
123,Vaini,TO,2021-04-06 02:54:50,-21.2,-175.2,80.6,69,40,12.66
124,Joao Pinheiro,BR,2021-04-06 02:54:51,-17.7425,-46.1725,71.49,70,99,8.16
125,Vostok,RU,2021-04-06 02:54:51,46.4856,135.8833,42.33,55,66,10.83
126,Waddan,LY,2021-04-06 02:54:51,29.1614,16.139,60.4,73,86,16.87
127,Mandera,KE,2021-04-06 02:54:52,3.9366,41.867,80.85,66,0,12.24
128,Bosobolo,CD,2021-04-06 02:54:52,4.1833,19.9,74.62,66,100,1.66
129,Dubai,AE,2021-04-06 02:54:52,25.2582,55.3047,68.0,68,0,4.61
130,Ixtapa,MX,2021-04-06 02:54:48,20.7,-105.2,75.2,88,40,6.91
131,Saint-Georges,GD,2021-04-06 02:54:53,12.0564,-61.7485,78.8,89,20,11.5
132,Marsa Matruh,EG,2021-04-06 02:54:06,31.3525,27.2453,57.2,58,0,5.75
133,Fairbanks,US,2021-04-06 02:54:53,64.8378,-147.7164,10.99,66,90,14.97
134,Garden City,US,2021-04-06 02:51:21,42.3256,-83.331,48.2,57,75,6.91
